Unnamed: 0,Total Sample,Unnamed: 2,Gender,Unnamed: 4,Unnamed: 5,Irish Region,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Age,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,"Question 2 - How frequently do you typically buy something that you didn’t plan to buy, when shopping in a supermarket, grocery store or off licence at Christmas time?", ,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,"Question 3 - To what extent are the purchase decisions you make at Christmas in a supermarket, grocery store or off licence, impacted by the advertising you see?", .1,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,"Question 5 - Top 3 favourite Brands to buy in a supermarket, grocery store or off licence at Christmas time?", .2,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Question 6 - Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time?, .3,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Question 7 - And what other types of media are likely to get your attention when looking for brands at Christmas time? Please select all that apply. , .4,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Females,Females Dublin,No Segments,source,UK County,Unnamed: 12,Unnamed: 18,Unnamed: 24,"Question 2 - Please select which, if any, of the following most closely represents your dietary preference:",Unnamed: 30,Unnamed: 31,Question 3 - How frequently or not would you say you purchase products that could be considered as environmentally friendly or sustainable?,Question 4 - In your opinion how important or not are the sustainability credentials of the brands / products that you buy?,Question 5 - What does the term ‘sustainable’ mean to you?,Unnamed: 52,Unnamed: 53,"Question 8 - Primarily, who’s responsibility do you believe it is to drive sustainability practises / values in the UK? You may choose only one option. ",Question 9 - To what extent do you trust companies and the messages they communicate based on being environmentally friendly / sustainable?, .5,Question 10 - Which of the following types of claims by companies who produce consumer products do you find most impactful when choosing to purchase brands / products? Please select all that apply, .6,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,"Question 11 - And, which of the following claims do you find the most impactful when choosing to purchase brands / products from that company? You may choose only one option. ", .7,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,"Question 12 - When shopping for items in store or online, how influenced or not are you to make a purchase decision based on environmental / sustainable claims that appear on a product's packaging?", .8,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Question 15 - Have you ever stopped buying a brand / product for ethical or sustainability reasons?, .9,Unnamed: 102,Unnamed: 103,Question 16 - Which category did the brand product belong to:, .10,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Question 17 - What was the reason you stopped buying this brand / product?, .11,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,"Question 19 - How much do you agree or disagree with the following statement? ‘The more expensive the brand / product, the more credible its sustainability claims are’", .12,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Question 20 - Can you name one brand that stands out to you for its environmental / sustainability focus? And why?, .13,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146
Demographics,,,Male,Female, ,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only), ,18-24,25-34,35-44,45-54,55-64, ,Always,Often,Sometimes ,Rarely ,Never , ,Always ,Often ,Sometimes ,Rarely ,Never , ,Denny's,Jameson,M&S,Baileys,Coca Cola,Smirnoff,Tesco,Tayto,,Dunnes Stores,Cadbury's,Powers,Lindt,Ballymaloe,Heineken,Other Brands,Roses,Absolut,Guinness,Quality Street,No Group, ,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email ,Other, ,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email ,Other, ,,,,Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1002,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726,Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%,Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,490,,490,, ,137,131,136,58,28, ,61,109,129,105,86, ,102,187,140,51,10, ,44,138,185,86,37, ,9,75,5,117,30,19,23,36,15,14,90,10,13,6,51,56,19,12,88,17,0, ,141,39,26,32,26,15,47,69,64,23,8, ,217,167,103,112,97,77,138,143,148,80,7, ,0,0,490,Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49%,,100%,, ,49%,47%,49%,51%,53%, ,47%,48%,49%,50%,49%, ,40%,49%,54%,59%,59%, ,54%,51%,45%,48%,65%, ,75%,71%,21%,38%,53%,36%,52%,39%,56%,50%,34%,91%,25%,33%,81%,53%,34%,75%,75%,45%,0%, ,53%,62%,53%,71%,42%,83%,44%,37%,44%,50%,73%, ,46%,55%,48%,52%,46%,73%,45%,40%,47%,43%,70%, ,0%,0%,67%,Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,512,,,512, ,144,145,143,55,25, ,68,116,132,106,90, ,151,197,121,36,7, ,38,131,228,94,20, ,3,30,19,189,27,34,21,57,12,14,177,1,40,12,12,50,37,4,29,21,0, ,127,24,23,13,36,3,59,119,82,23,3, ,257,137,111,104,112,29,170,215,169,106,3, ,184,144,236,Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51%,,,100%, ,51%,53%,51%,49%,47%, ,53%,52%,51%,50%,51%, ,60%,51%,46%,41%,41%, ,46%,49%,55%,52%,35%, ,25%,29%,79%,62%,47%,64%,48%,61%,44%,50%,66%,9%,75%,67%,19%,47%,66%,25%,25%,55%,0%, ,47%,38%,47%,29%,58%,17%,56%,63%,56%,50%,27%, ,54%,45%,52%,48%,54%,27%,55%,60%,53%,57%,30%, ,100%,100%,33%,Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
